Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP,AB,2B,3B,HBP,Season,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,League,City,Mascot
Josh Andujar,PHO,27,32,32,1,1,184.0,126,45,227,78,16,14,8,0,0,0,2.2,1.11,678.0,0,0,0,2022,0.27007299270072993,204,552.0,23.625,0,100,Healthy,0,NNL,Phoenix,Water buffalo breeds
Jorge Speier,HON,31,32,32,0,0,183.0,194,84,103,50,30,10,15,0,0,0,4.13,1.33,743.0,0,0,0,2022,0.3071593533487298,244,549.0,24.78125,0,100,Healthy,0,NNL,Honolulu,list
Yu Manoah,MON,34,30,30,0,0,181.2,159,69,167,49,19,15,9,0,0,0,3.42,1.14,702.5999999999999,0,0,0,2022,0.2753623188405797,208,543.5999999999999,25.05333333333333,0,100,Healthy,0,ACB,Montgomery,Earthworm
Sergio Ragans,COL,28,31,31,0,0,181.2,185,100,150,63,30,9,13,0,0,0,4.95,1.37,728.5999999999999,0,0,0,2022,0.3135011441647597,248,543.5999999999999,25.535483870967738,0,100,Healthy,0,ACB,Columbus,Domestic dromedary camel
Seth Lee,CAT,29,30,30,0,0,181.0,174,80,128,36,25,9,13,0,0,0,3.98,1.16,717.0,0,0,0,2022,0.2788461538461538,210,543.0,25.1,0,100,Healthy,0,NNL,Cathedral City,Vole
Tommy Moustakas,POM,30,30,30,0,0,181.0,154,59,184,42,22,10,7,0,0,0,2.93,1.08,697.0,0,0,0,2022,0.2647058823529412,196,543.0,24.633333333333333,0,100,Healthy,0,ACB,Pompano Beach,Owl
Kirby Strzelecki,TOR,27,30,30,0,0,180.1,156,64,174,53,19,21,5,0,0,0,3.19,1.16,696.3,0,0,0,2022,0.2788461538461538,209,540.3,24.976666666666667,0,100,Healthy,0,ACB,Torrance,Hare
Mark Rivero,HIA,27,32,32,0,0,180.0,157,75,174,53,21,10,10,0,0,0,3.75,1.17,697.0,0,0,0,2022,0.2805755395683453,210,540.0,23.4375,0,100,Healthy,0,ACB,Hialeah,list
Jose Price,ANA,30,33,33,1,0,179.2,175,91,175,73,27,10,12,0,0,0,4.56,1.38,712.5999999999999,0,0,0,2022,0.3150684931506849,248,537.5999999999999,23.806060606060605,0,100,Healthy,0,NNL,Anaheim,American robin
Sean Winker,LON,32,32,32,1,0,179.0,196,88,144,52,26,12,11,0,0,0,4.42,1.39,733.0,0,0,0,2022,0.31662870159453305,248,537.0,24.53125,0,100,Healthy,0,NNL,Long Beach,Horse
Nick Ohtani,GIL,33,30,28,0,0,178.2,145,51,138,34,14,15,5,0,0,0,2.57,1.0,679.5999999999999,0,0,0,2022,0.25,179,534.5999999999999,23.786666666666665,0,100,Healthy,0,NNL,Gilbert,Sawfish
Adam Stratton,SIM,30,31,31,1,0,178.0,131,57,237,52,12,14,8,0,0,0,2.88,1.03,665.0,0,0,0,2022,0.25558312655086846,183,534.0,23.129032258064516,0,100,Healthy,0,ACB,Simi Valley,Dog
Whit Escobar,LAF,31,32,32,0,0,177.1,168,77,151,32,26,14,5,0,0,0,3.91,1.13,699.3,0,0,0,2022,0.27360774818401934,200,531.3,22.853125,0,100,Healthy,0,NNL,Lafayette,Sockeye salmon
Christopher Mitchell,GIL,26,31,31,0,0,175.0,127,42,166,41,23,17,7,0,0,0,2.16,0.96,652.0,0,0,0,2022,0.24242424242424243,168,525.0,22.35483870967742,0,100,Healthy,0,NNL,Gilbert,Sawfish
Trevor Slater,LOU,40,28,28,0,0,175.0,116,34,185,29,12,18,4,0,0,0,1.75,0.83,641.0,0,0,0,2022,0.216710182767624,145,525.0,23.928571428571427,0,100,Healthy,0,NNL,Louisville,Swallow
Kevin Bogaerts,COL,29,31,31,0,0,174.2,193,88,131,53,19,9,11,0,0,0,4.53,1.41,715.5999999999999,0,0,0,2022,0.31972789115646255,246,522.5999999999999,24.79354838709677,0,100,Healthy,0,ACB,Columbus,Domestic dromedary camel
Kevin Olson,TEM,32,31,31,0,0,174.2,188,65,205,28,15,12,10,0,0,0,3.35,1.24,710.5999999999999,0,0,0,2022,0.29245283018867924,216,522.5999999999999,23.825806451612902,0,100,Healthy,0,NNL,Tempe,Mockingbird
Raisel Lakins,TEM,28,32,32,0,0,172.0,199,100,149,45,29,12,7,0,0,0,5.23,1.42,715.0,0,0,0,2022,0.3212669683257918,244,516.0,23.75,0,100,Healthy,0,NNL,Tempe,Mockingbird
Justin Gonzalez,TOR,39,31,31,0,0,172.0,149,83,205,63,28,9,6,0,0,0,4.34,1.23,665.0,0,0,0,2022,0.2907801418439716,212,516.0,23.483870967741936,0,100,Healthy,0,ACB,Torrance,Hare
Chris Velazquez,RIC,35,31,31,0,0,167.2,176,94,144,48,24,10,8,0,0,0,5.05,1.34,677.5999999999999,0,0,0,2022,0.30875576036866365,224,501.59999999999997,23.406451612903222,0,100,Healthy,0,ACB,Richmond County,Bovid
Gleyber Lauer,AKR,25,28,28,0,0,166.1,116,47,194,38,19,12,8,0,0,0,2.54,0.93,614.3,0,0,0,2022,0.2366412213740458,154,498.29999999999995,23.29642857142857,0,100,Healthy,0,NNL,Akron,Lungfish
CJ Jansen,JOL,28,157,28,0,0,166.0,124,43,219,44,14,15,9,0,0,0,2.33,1.01,622.0,0,0,0,2022,0.2518703241895262,168,498.0,4.24203821656051,0,100,Healthy,0,NNL,Joliet,Ocelot
Lou Sanchez,LOU,27,29,28,0,0,164.1,154,72,134,38,29,13,8,0,0,0,3.94,1.17,646.3,0,0,0,2022,0.2805755395683453,192,492.29999999999995,23.596551724137928,0,100,Healthy,0,NNL,Louisville,Swallow
Emmanuel Wood,AKR,37,31,31,0,0,164.0,178,79,139,21,20,10,10,0,0,0,4.34,1.21,670.0,0,0,0,2022,0.28741092636579574,199,492.0,22.29032258064516,0,100,Healthy,0,NNL,Akron,Lungfish
Andrew Fletcher,PHO,28,30,30,0,0,161.2,171,88,177,61,24,11,9,0,0,0,4.9,1.44,654.5999999999999,0,0,0,2022,0.32432432432432434,232,483.59999999999997,23.85333333333333,0,100,Healthy,0,NNL,Phoenix,Water buffalo breeds
Michael Stefanic,GRA,27,31,29,0,0,159.0,162,69,138,60,14,5,12,0,0,0,3.91,1.4,639.0,0,0,0,2022,0.3181818181818181,222,477.0,22.548387096774192,0,100,Healthy,0,ACB,Grayslake,Whitefish
Andre Mancini,COL,27,29,29,0,0,158.2,135,65,157,59,27,11,7,0,0,0,3.69,1.22,609.5999999999999,0,0,0,2022,0.2890995260663507,194,474.59999999999997,23.055172413793102,0,100,Healthy,0,ACB,Columbus,Domestic dromedary camel
Calvin DeJong,SAN,33,30,30,0,0,158.2,179,86,112,49,25,7,15,0,0,0,4.88,1.44,653.5999999999999,0,0,0,2022,0.32432432432432434,228,474.59999999999997,23.419999999999998,0,100,Healthy,0,NNL,Santa Rosa,Catfish
Alfonso Gose,PHO,37,25,24,1,0,158.1,161,59,102,33,15,8,10,0,0,0,3.35,1.23,635.3,0,0,0,2022,0.2907801418439716,194,474.29999999999995,26.732,0,100,Healthy,0,NNL,Phoenix,Water buffalo breeds
J.J. Gurriel,LAF,28,28,28,1,1,158.1,108,43,163,38,16,12,4,0,0,0,2.44,0.92,582.3,0,0,0,2022,0.23469387755102042,146,474.29999999999995,22.15357142857143,0,100,Healthy,0,NNL,Lafayette,Sockeye salmon
Christian Tepera,POM,31,30,28,0,0,158.0,155,87,156,50,29,8,9,0,0,0,4.96,1.3,629.0,0,0,0,2022,0.3023255813953489,205,474.0,22.633333333333333,0,100,Healthy,0,ACB,Pompano Beach,Owl
Matt Rodriguez,MON,30,29,29,0,0,157.1,143,61,132,45,15,12,5,0,0,0,3.49,1.19,614.3,0,0,0,2022,0.2840095465393795,188,471.29999999999995,22.73448275862069,0,100,Healthy,0,ACB,Montgomery,Earthworm
Jake Ford,LOU,26,28,28,0,0,157.1,131,65,157,47,23,15,8,0,0,0,3.72,1.13,602.3,0,0,0,2022,0.27360774818401934,178,471.29999999999995,23.189285714285713,0,100,Healthy,0,NNL,Louisville,Swallow
Davis Castillo,RIC,27,29,29,0,0,155.1,149,63,129,58,15,10,7,0,0,0,3.65,1.33,614.3,0,0,0,2022,0.3071593533487298,207,465.29999999999995,23.182758620689654,0,100,Healthy,0,ACB,Richmond County,Bovid
Javier Jansen,COL,30,27,27,0,0,153.1,122,52,190,42,18,13,4,0,0,0,3.05,1.07,581.3,0,0,0,2022,0.2628992628992629,164,459.29999999999995,23.085185185185182,0,100,Healthy,0,ACB,Columbus,Domestic dromedary camel
Noah Smith,CAN,28,29,29,0,0,153.1,158,76,137,62,20,4,8,0,0,0,4.46,1.43,617.3,0,0,0,2022,0.3227990970654628,220,459.29999999999995,23.42413793103448,0,100,Healthy,0,NNL,Canton,Donkey
Joey Rogers,MOR,26,27,24,0,0,153.1,140,55,150,35,18,10,5,0,0,0,3.23,1.14,599.3,0,0,0,2022,0.2753623188405797,175,459.29999999999995,23.49259259259259,0,100,Healthy,0,NNL,Moreno Valley,Quail
Roman Diaz,RIC,32,26,26,0,0,153.0,125,48,163,34,13,12,7,0,0,0,2.82,1.04,584.0,0,0,0,2022,0.25742574257425743,159,459.0,23.76923076923077,0,100,Healthy,0,ACB,Richmond County,Bovid
Patrick Gallagher,FAY,33,31,31,1,0,152.2,210,107,128,49,27,6,19,0,0,0,6.31,1.7,666.5999999999999,0,0,0,2022,0.36170212765957444,259,456.59999999999997,23.083870967741934,0,100,Healthy,0,ACB,Fayetteville,Fancy mouse
Chi Jackson,MON,36,29,29,0,0,152.0,161,67,152,41,17,15,7,0,0,0,3.97,1.33,617.0,0,0,0,2022,0.3071593533487298,202,456.0,22.689655172413794,0,100,Healthy,0,ACB,Montgomery,Earthworm
Luis Seabold,SIM,35,28,28,0,0,149.2,152,62,151,43,9,7,8,0,0,0,3.73,1.3,599.5999999999999,0,0,0,2022,0.3023255813953489,195,447.59999999999997,22.949999999999996,0,100,Healthy,0,ACB,Simi Valley,Dog
Isiah Arano,LOU,26,30,25,0,0,148.2,89,42,194,52,17,11,9,0,0,0,2.54,0.95,533.5999999999999,0,0,0,2022,0.24050632911392403,141,444.59999999999997,19.519999999999996,0,100,Healthy,0,NNL,Louisville,Swallow
George Reynolds,JOL,26,27,27,1,1,148.2,139,48,151,60,8,6,9,0,0,0,2.91,1.34,583.5999999999999,0,0,0,2022,0.30875576036866365,199,444.59999999999997,23.837037037037035,0,100,Healthy,0,NNL,Joliet,Ocelot
Luis Baumann,FAY,25,28,28,0,0,148.2,136,83,154,66,38,7,10,0,0,0,5.02,1.36,580.5999999999999,0,0,0,2022,0.3119266055045872,202,444.59999999999997,23.092857142857138,0,100,Healthy,0,ACB,Fayetteville,Fancy mouse
Nick Hays,LAK,26,27,27,0,0,147.0,115,58,151,47,20,13,8,0,0,0,3.55,1.1,556.0,0,0,0,2022,0.26829268292682934,162,441.0,22.333333333333332,0,100,Healthy,0,NNL,Lakewood,Bug
Geraldo Burdick,AKR,27,28,28,0,0,146.0,121,46,125,31,13,11,7,0,0,0,2.84,1.04,559.0,0,0,0,2022,0.25742574257425743,152,438.0,21.071428571428573,0,100,Healthy,0,NNL,Akron,Lungfish
Oswald Richards,MON,38,23,23,0,0,145.1,108,37,173,24,13,11,5,0,0,0,2.29,0.91,543.3,0,0,0,2022,0.23273657289002558,132,435.29999999999995,24.665217391304346,0,100,Healthy,0,ACB,Montgomery,Earthworm
Santiago Hall,GRA,29,28,28,0,0,144.0,157,75,147,54,17,3,12,0,0,0,4.69,1.47,589.0,0,0,0,2022,0.3288590604026846,211,432.0,22.964285714285715,0,100,Healthy,0,ACB,Grayslake,Whitefish
David Bielak,LAK,30,29,29,0,0,140.0,151,76,94,28,24,8,8,0,0,0,4.89,1.28,571.0,0,0,0,2022,0.29906542056074764,179,420.0,20.655172413793103,0,100,Healthy,0,NNL,Lakewood,Bug
Shane Miley,MOR,27,35,22,0,0,139.2,153,79,102,57,17,6,14,1,0,1,5.09,1.5,570.5999999999999,0,0,0,2022,0.3333333333333333,210,417.59999999999997,17.93142857142857,0,100,Healthy,0,NNL,Moreno Valley,Quail
Raisel Fairbanks,VIC,28,27,26,0,0,139.2,141,69,78,61,9,8,7,0,0,0,4.45,1.45,558.5999999999999,0,0,0,2022,0.32584269662921345,202,417.59999999999997,22.948148148148146,0,100,Healthy,0,ACB,Victorville,Mastodon
Michael Almonte,ROU,31,25,25,0,0,138.2,123,54,119,36,16,6,7,0,0,0,3.5,1.15,537.5999999999999,0,0,0,2022,0.2771084337349397,159,414.59999999999997,22.943999999999996,0,100,Healthy,0,ACB,Round Lake Beach,Bobcat
Trey Heineman,HON,28,33,22,0,0,137.2,132,57,95,51,17,8,9,2,0,0,3.73,1.33,543.5999999999999,0,0,0,2022,0.3071593533487298,183,411.59999999999997,18.018181818181816,0,100,Healthy,0,NNL,Honolulu,list
John Chacin,COL,30,27,27,1,1,137.0,155,87,110,58,25,6,11,0,0,0,5.72,1.55,566.0,0,0,0,2022,0.34065934065934067,213,411.0,23.11111111111111,0,100,Healthy,0,ACB,Columbus,Domestic dromedary camel
Rene Familia,MOR,39,26,26,0,0,137.0,157,56,73,27,14,4,9,0,0,0,3.68,1.34,568.0,0,0,0,2022,0.30875576036866365,184,411.0,22.884615384615383,0,100,Healthy,0,NNL,Moreno Valley,Quail
Anthony Kirk,CAN,27,27,27,0,0,135.2,119,70,107,62,21,7,10,0,0,0,4.64,1.33,524.5999999999999,0,0,0,2022,0.3071593533487298,181,405.59999999999997,21.72592592592592,0,100,Healthy,0,NNL,Canton,Donkey
Anthony Wesneski,AKR,30,33,25,0,0,135.1,114,37,144,31,14,9,5,0,0,0,2.46,1.07,519.3,0,0,0,2022,0.2628992628992629,145,405.29999999999995,16.675757575757576,0,100,Healthy,0,NNL,Akron,Lungfish
Dauri Whitley,SAN,30,27,27,0,0,134.1,122,61,102,52,21,2,5,0,0,0,4.09,1.3,524.3,0,0,0,2022,0.3023255813953489,174,402.29999999999995,21.34444444444444,0,100,Healthy,0,NNL,Santa Rosa,Catfish
Kervin Soler,TEM,33,32,24,0,0,134.1,117,45,111,20,12,10,4,1,0,0,3.01,1.02,519.3,0,0,0,2022,0.2537313432835821,137,402.29999999999995,16.853125,0,100,Healthy,0,NNL,Tempe,Mockingbird
Joe Kirilloff,CAT,29,26,26,0,0,134.0,121,63,98,59,16,5,9,0,0,0,4.23,1.34,523.0,0,0,0,2022,0.30875576036866365,180,402.0,22.384615384615383,0,100,Healthy,0,NNL,Cathedral City,Vole
Greg Vientos,TOR,24,31,20,0,0,131.2,86,39,202,45,7,11,5,0,1,2,2.67,0.99,479.59999999999997,0,0,0,2022,0.24812030075187969,131,393.59999999999997,16.922580645161286,0,100,Healthy,0,ACB,Torrance,Hare
Kutter Nelson,MOR,26,27,27,0,0,131.2,155,75,122,52,21,4,13,0,0,0,5.13,1.57,548.5999999999999,0,0,0,2022,0.3435448577680525,207,393.59999999999997,22.24444444444444,0,100,Healthy,0,NNL,Moreno Valley,Quail
Luis Banks,CHE,28,25,24,0,0,131.2,136,63,100,38,19,3,12,0,0,0,4.31,1.32,529.5999999999999,0,0,0,2022,0.3055555555555555,174,393.59999999999997,22.703999999999997,0,100,Healthy,0,NNL,Chesapeake,Viper
Josh Brazoban,SIM,32,26,26,0,0,130.2,132,74,131,30,17,8,12,0,0,0,5.1,1.24,522.5999999999999,0,0,0,2022,0.29245283018867924,162,390.59999999999997,21.25384615384615,0,100,Healthy,0,ACB,Simi Valley,Dog
Trent Burger,GIL,28,24,24,0,0,130.1,79,31,119,35,11,16,1,0,0,0,2.14,0.87,469.29999999999995,0,0,0,2022,0.22480620155038758,114,390.29999999999995,21.0125,0,100,Healthy,0,NNL,Gilbert,Sawfish
Cal Kuhl,HON,25,25,25,0,0,130.0,135,49,133,22,13,8,5,0,0,0,3.39,1.21,525.0,0,0,0,2022,0.28741092636579574,157,390.0,21.88,0,100,Healthy,0,NNL,Honolulu,list
Max Bard,MOR,25,28,27,0,0,129.0,156,80,110,63,18,3,13,0,0,0,5.58,1.7,543.0,0,0,0,2022,0.36170212765957444,219,387.0,21.642857142857142,0,100,Healthy,0,NNL,Moreno Valley,Quail
Anibal DeJong,JOL,23,25,25,1,1,129.0,110,54,122,46,13,7,6,0,0,0,3.77,1.21,497.0,0,0,0,2022,0.28741092636579574,156,387.0,21.72,0,100,Healthy,0,NNL,Joliet,Ocelot
Stone Rizzo,POM,30,24,24,0,0,128.0,103,48,171,51,11,8,10,0,0,0,3.38,1.2,487.0,0,0,0,2022,0.2857142857142857,154,384.0,22.416666666666668,0,100,Healthy,0,ACB,Pompano Beach,Owl
Richie Laureano,ANA,31,23,23,1,1,127.1,111,47,104,31,18,11,2,0,0,0,3.32,1.12,492.29999999999995,0,0,0,2022,0.2718446601941748,142,381.29999999999995,22.752173913043475,0,100,Healthy,0,NNL,Anaheim,American robin
Josh Frias,CAN,31,24,24,0,0,127.1,105,56,134,39,17,7,7,0,0,0,3.96,1.13,486.29999999999995,0,0,0,2022,0.27360774818401934,144,381.29999999999995,21.8875,0,100,Healthy,0,NNL,Canton,Donkey
Johnny Pruitt,FAY,30,27,27,0,0,127.0,149,82,94,58,21,6,13,0,0,0,5.81,1.63,530.0,0,0,0,2022,0.3520518358531317,207,381.0,21.77777777777778,0,100,Healthy,0,ACB,Fayetteville,Fancy mouse
Yimi De Los Santos,GIL,35,22,22,0,0,126.1,96,32,137,23,10,12,3,0,0,0,2.28,0.94,474.29999999999995,0,0,0,2022,0.23857868020304568,119,378.29999999999995,22.604545454545452,0,100,Healthy,0,NNL,Gilbert,Sawfish
Tylor Barrera,KAN,23,24,24,1,1,125.2,104,62,164,48,24,5,13,0,0,0,4.44,1.21,479.6,0,0,0,2022,0.28741092636579574,152,375.6,21.983333333333334,0,100,Healthy,0,ACB,Kansas City,Goldfish
Johan Gutierrez,LON,27,22,21,1,1,125.1,123,45,87,34,11,8,7,0,0,0,3.23,1.25,498.29999999999995,0,0,0,2022,0.29411764705882354,157,375.29999999999995,24.19545454545454,0,100,Healthy,0,NNL,Long Beach,Horse
Braxton Wong,COL,29,33,17,0,0,124.2,137,77,95,34,20,5,7,0,0,0,5.56,1.37,509.6,0,0,0,2022,0.3135011441647597,171,372.6,16.472727272727273,0,100,Healthy,0,ACB,Columbus,Domestic dromedary camel
Kyle Adames,ANA,43,26,26,0,0,124.1,125,59,109,37,15,8,7,0,0,0,4.27,1.3,497.29999999999995,0,0,0,2022,0.3023255813953489,162,372.29999999999995,20.549999999999997,0,100,Healthy,0,NNL,Anaheim,American robin
AJ Bregman,GRA,29,29,22,0,0,121.2,138,70,90,46,19,3,10,0,0,0,5.18,1.51,501.6,0,0,0,2022,0.3348115299334812,184,363.6,18.882758620689657,0,100,Healthy,0,ACB,Grayslake,Whitefish
Willi Toussaint,PHO,35,21,21,0,0,121.2,119,54,124,19,19,8,7,0,0,0,3.99,1.13,482.6,0,0,0,2022,0.27360774818401934,138,363.6,23.885714285714286,0,100,Healthy,0,NNL,Phoenix,Water buffalo breeds
Adley Darvish,LAK,33,24,24,0,0,119.2,99,41,117,36,11,8,5,0,0,0,3.08,1.13,456.6,0,0,0,2022,0.27360774818401934,135,357.6,20.525000000000002,0,100,Healthy,0,NNL,Lakewood,Bug
Cole Baker,PHO,26,25,25,0,0,119.1,85,47,105,57,15,5,9,0,0,0,3.54,1.19,442.29999999999995,0,0,0,2022,0.2840095465393795,142,357.29999999999995,19.971999999999998,0,100,Healthy,0,NNL,Phoenix,Water buffalo breeds
Tim Margot,ROU,27,24,24,0,0,119.0,111,42,126,50,8,4,7,0,0,0,3.18,1.35,468.0,0,0,0,2022,0.31034482758620696,161,357.0,21.583333333333332,0,100,Healthy,0,ACB,Round Lake Beach,Bobcat
Ezequiel Garcia,GRA,26,21,21,0,0,117.2,104,46,117,32,9,7,8,0,0,0,3.52,1.16,455.6,0,0,0,2022,0.2788461538461538,136,351.6,23.219047619047622,0,100,Healthy,0,NNL,Grayslake,Whitefish
Ezequiel Springs,LON,26,23,23,0,0,117.2,119,64,111,46,17,4,7,0,0,0,4.9,1.4,470.6,0,0,0,2022,0.3181818181818181,165,351.6,22.460869565217394,0,100,Healthy,0,NNL,Long Beach,Horse
Brandon Allard,GRA,25,25,20,0,0,115.2,132,71,79,32,20,3,9,0,0,0,5.52,1.42,477.6,0,0,0,2022,0.3212669683257918,164,345.6,20.384,0,100,Healthy,0,ACB,Grayslake,Whitefish
Ernie Tate,ROU,28,29,17,0,0,115.0,103,48,108,43,16,10,5,1,1,0,3.76,1.27,448.0,0,0,0,2022,0.29742388758782207,146,345.0,16.93103448275862,0,100,Healthy,0,ACB,Round Lake Beach,Bobcat
Mike Manoah,LAF,30,21,21,0,0,114.2,103,47,97,23,15,3,3,0,0,0,3.69,1.1,445.6,0,0,0,2022,0.26829268292682934,126,342.6,22.314285714285717,0,100,Healthy,0,NNL,Lafayette,Sockeye salmon
Alex Herrera,POM,32,23,22,0,0,114.1,102,55,91,35,20,7,7,0,0,0,4.33,1.2,444.29999999999995,0,0,0,2022,0.2857142857142857,137,342.29999999999995,20.839130434782607,0,100,Healthy,0,ACB,Pompano Beach,Owl
Andrew Williams,FAY,36,42,19,1,0,113.1,131,61,92,24,24,0,9,0,0,0,4.84,1.37,470.29999999999995,0,0,0,2022,0.3135011441647597,155,339.29999999999995,11.769047619047617,0,100,Healthy,0,ACB,Fayetteville,Fancy mouse
Jonathan Buehler,SIM,30,23,17,0,0,112.0,120,55,98,25,13,5,7,0,0,0,4.42,1.29,456.0,0,0,0,2022,0.30069930069930073,145,336.0,20.91304347826087,0,100,Healthy,0,ACB,Simi Valley,Dog
Jhonathan Martin,TOR,24,22,22,0,0,111.2,115,62,97,54,12,10,6,0,0,0,5.0,1.51,448.6,0,0,0,2022,0.3348115299334812,169,333.6,22.845454545454547,0,100,Healthy,0,ACB,Torrance,Hare
Jose Chavez,CAT,29,21,21,0,0,111.1,110,53,89,30,15,7,6,0,0,0,4.28,1.26,443.29999999999995,0,0,0,2022,0.29577464788732394,140,333.29999999999995,22.538095238095234,0,100,Healthy,0,NNL,Cathedral City,Vole
Mike Brigham,ANA,33,20,20,2,1,109.1,115,47,103,20,21,6,3,0,0,0,3.87,1.23,442.29999999999995,0,0,0,2022,0.2907801418439716,135,327.29999999999995,23.115,0,100,Healthy,0,NNL,Anaheim,American robin
C.J. Beasley,JOL,25,22,20,0,0,109.0,103,48,103,33,14,8,8,0,0,0,3.96,1.25,430.0,0,0,0,2022,0.29411764705882354,136,327.0,21.045454545454547,0,100,Healthy,0,NNL,Joliet,Ocelot
Jacob Weiss,VIC,24,47,10,0,0,108.0,113,38,73,40,9,6,5,0,1,9,3.17,1.42,437.0,0,0,0,2022,0.3212669683257918,153,324.0,10.148936170212766,0,100,Healthy,0,ACB,Victorville,Mastodon
