Hashcode,Player,Age,Team,WAR,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,GIDP,HBP,SH,SF,Pos,MLS,Salary,League,Teams,Leagues,Season,Total_OB,Total_Outs,E,Game_Fatigue_Factor,Condition,Status,Injured Days,City,Mascot,AVG
262675,Josh Guillorme,27,SEB,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.243,0,0,0,10,0,0,0,['CF'],1.055,745000.0,ACB,['SEB'],['ACB'],2025,0,0,0,0,100,Active,0,Sebastian,Cod,0
166182,Austin Rojas,28,LAS,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0,0,0,8,0,0,0,"['2B,SS']",4.014,11500000.0,NBL,['LAS'],['NBL'],2025,0,0,0,0,100,Active,0,Las Vegas,list,0
605430,David Zastryzny,26,LAS,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,0,18,0,0,0,"['3B', '3B,1B']",2.16,3400000.0,NBL,['LAS'],['NBL'],2025,0,0,0,0,100,Active,0,Las Vegas,list,0
325139,Nolan Caballero,33,SOU,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,12,0,0,0,['3B'],9.061,11000000.0,NBL,['SOU'],['NBL'],2025,0,0,0,0,100,Active,0,South Lyon,Toad,0
572868,Miles Bednar,35,SIO,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0,0,0,13,0,0,0,['1B'],13.033,27000000.0,NBL,['SIO'],['NBL'],2025,0,0,0,0,100,Active,0,Sioux Falls,Guanaco,0
753448,Stephen Mize,27,MCH,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,10,0,0,0,['C'],2.0,760300.0,ACB,['MCH'],['ACB'],2025,0,0,0,0,100,Active,0,McHenry,Asp,0
126745,Hoby Marchán,32,JOL,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0,0,0,13,0,0,0,['RF'],3.095,4750000.0,ACB,['JOL'],['ACB'],2025,0,0,0,0,100,Active,0,Joliet,list,0
351035,Sean Ottavino,28,BOS,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,0,0,16,0,0,0,['2B'],3.0,3800000.0,NBL,['BOS'],['NBL'],2025,0,0,0,0,100,Active,0,Boston,Common household pests,0
1042180,Michael Luciano,23,HEN,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,1,0,0,0,['SS'],0.045,742250.0,NBL,['HEN'],['NBL'],2025,0,0,0,0,100,Active,0,Henderson,Sperm whale,0
1016289,Kyle Kiner-Falefa,28,GRA,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,19,0,0,0,['LF'],4.113,10833333.0,ACB,['GRA'],['ACB'],2025,0,0,0,0,100,Active,0,Grayslake,Spider monkey,0
718505,Eguy Casparius,34,HEN,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.272,0,0,0,16,0,0,0,['3B'],10.155,32675167.0,NBL,['HEN'],['NBL'],2025,0,0,0,0,100,Active,0,Henderson,Sperm whale,0
608173,Joe Peraza,28,PHO,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0,0,0,9,0,0,0,"['SS,2B,LF,CF,3B,P']",4.017,3300000.0,ACB,['PHO'],['ACB'],2025,0,0,0,0,100,Active,0,Phoenix,Stingray,0
191179,Andrew Moore,31,GRA,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,13,0,0,0,['3B'],7.07,30500000.0,ACB,['GRA'],['ACB'],2025,0,0,0,0,100,Active,0,Grayslake,Spider monkey,0
790647,Josh Rodríguez,26,GAS,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,0,0,0,11,0,0,0,['2B'],3.106,5571429.0,ACB,['GAS'],['ACB'],2025,0,0,0,0,100,Active,0,Gastonia,Slug,0
355533,Josh De Los Santos,28,GAS,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.243,0,0,0,23,0,0,0,['1B'],4.127,6500000.0,ACB,['GAS'],['ACB'],2025,0,0,0,0,100,Active,0,Gastonia,Slug,0
819219,Spencer Lodolo,32,POR,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0.285,0,0,0,19,0,0,0,['1B'],11.159,27538462.0,NBL,['POR'],['NBL'],2025,0,0,0,0,100,Active,0,Portsmouth,Penguin,0
738161,Nick Díaz,28,YON,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,7,0,0,0,['C'],2.085,795000.0,ACB,['YON'],['ACB'],2025,0,0,0,0,100,Active,0,Yonkers,Guinea pig,0
625877,Zack Taylor,25,CHE,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0,0,0,7,0,0,0,"['3B,2B,SS,RF']",0.168,751250.0,ACB,['CHE'],['ACB'],2025,0,0,0,0,100,Active,0,Chesapeake,Squirrel,0
634603,Ángel Muller,28,SHR,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,13,0,0,0,"['LF,RF', 'RF,LF']",2.056,768000.0,NBL,['SHR'],['NBL'],2025,0,0,0,0,100,Active,0,Shreveport,Moth,0
305659,Charles Urshela,33,PAL,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.281,0,0,0,12,0,0,0,['1B'],5.122,8000000.0,ACB,['PAL'],['ACB'],2025,0,0,0,0,100,Active,0,Palmdale,Skink,0
83638,Iván Bukauskas,29,SHR,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,20,0,0,0,"['LF,RF,CF']",5.078,8700000.0,ACB,['SHR'],['ACB'],2025,0,0,0,0,100,Active,0,Shreveport,Moth,0
997263,Ketel Winder,27,SHR,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0,0,0,8,0,0,0,"['3B,CF', 'CF,3B,2B', 'CF,2B']",3.075,2625000.0,ACB,['SHR'],['ACB'],2025,0,0,0,0,100,Active,0,Shreveport,Moth,0
622998,Aaron Gilbert,26,GRA,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0,0,0,24,0,0,0,"['C,1B']",1.035,768900.0,ACB,['GRA'],['ACB'],2025,0,0,0,0,100,Active,0,Grayslake,Spider monkey,0
786385,Robert Alvarez,25,TEM,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0,0,0,10,0,0,0,['2B'],0.165,748200.0,NBL,['TEM'],['NBL'],2025,0,0,0,0,100,Active,0,Tempe,Steelhead trout,0
272760,Mason Lovelady,30,SEB,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0.293,0,0,0,5,0,0,0,"['LF,RF']",2.059,750000.0,ACB,['SEB'],['ACB'],2025,0,0,0,0,100,Active,0,Sebastian,Cod,0
223685,Joe Davis,35,SAN,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,16,0,0,0,"['RF,CF']",9.166,24166667.0,ACB,['SAN'],['ACB'],2025,0,0,0,0,100,Active,0,Santa Rosa,Coyote,0
679931,Alí McKinstry,24,YON,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0,0,0,11,0,0,0,['CF'],2.0,12185714.0,ACB,['YON'],['ACB'],2025,0,0,0,0,100,Active,0,Yonkers,Guinea pig,0
1015298,Dairon Brooks,26,PAL,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0,0,0,17,0,0,0,"['2B,LF', '3B', '3B,2B,LF']",1.117,767000.0,ACB,['PAL'],['ACB'],2025,0,0,0,0,100,Active,0,Palmdale,Skink,0
247884,Nick France,23,SAI,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,16,0,0,0,['1B'],0.045,750000.0,ACB,['SAI'],['ACB'],2025,0,0,0,0,100,Active,0,Saint Petersburg,Platypus,0
230315,Darius Ross,28,POR,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,19,0,0,0,"['3B,1B']",3.106,4000000.0,NBL,['POR'],['NBL'],2025,0,0,0,0,100,Active,0,Portsmouth,Penguin,0
283368,Keegan Serven,27,COR,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,15,0,0,0,['CF'],0.161,742000.0,NBL,['COR'],['NBL'],2025,0,0,0,0,100,Active,0,Corpus Christi,Ermine,0
870361,José Hwan Bae,32,SOU,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0,0,0,23,0,0,0,['1B'],7.053,16500000.0,NBL,['SOU'],['NBL'],2025,0,0,0,0,100,Active,0,South Lyon,Toad,0
164077,Zack Rainey,24,VIS,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0.246,0,0,0,5,0,0,0,['SS'],1.13,752400.0,NBL,['VIS'],['NBL'],2025,0,0,0,0,100,Active,0,Visalia,Elephant seal,0
629147,Salvador Smith-Shawver,30,RIV,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0,0,0,16,0,0,0,['SS'],6.114,2000000.0,NBL,['RIV'],['NBL'],2025,0,0,0,0,100,Active,0,Riverside,Fancy rat,0
524975,Keider Hedges,24,SAI,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0.249,0,0,0,14,0,0,0,['SS'],0.17,750000.0,ACB,['SAI'],['ACB'],2025,0,0,0,0,100,Active,0,Saint Petersburg,Platypus,0
443304,Yoendrys Dunn,28,WAT,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0.272,0,0,0,14,0,0,0,['3B'],6.07,29500000.0,ACB,['WAT'],['ACB'],2025,0,0,0,0,100,Active,0,Waterloo,Caribou,0
137508,Justyn-Henry Goldschmidt,26,SHR,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.259,0,0,0,10,0,0,0,"['SS,CF']",1.11,755000.0,NBL,['SHR'],['NBL'],2025,0,0,0,0,100,Active,0,Shreveport,Moth,0
456898,Christian Rice,26,HEN,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0,0,0,8,0,0,0,"['RF,LF,1B']",1.029,750050.0,NBL,['HEN'],['NBL'],2025,0,0,0,0,100,Active,0,Henderson,Sperm whale,0
481417,Luke Henderson,39,PHO,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0,0,0,11,0,0,0,['1B'],13.115,5250000.0,ACB,['PHO'],['ACB'],2025,0,0,0,0,100,Active,0,Phoenix,Stingray,0
268406,Huascar Sánchez,22,MON,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0,0,0,4,0,0,0,['CF'],0.0,740000.0,NBL,['MON'],['NBL'],2025,0,0,0,0,100,Active,0,Montgomery,Pigeon,0
870683,Adolis Eflin,31,LAS,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0.242,0,0,0,10,0,0,0,['SS'],7.047,26000000.0,NBL,['LAS'],['NBL'],2025,0,0,0,0,100,Active,0,Las Vegas,list,0
411817,Joey García,27,JOL,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0,0,0,6,0,0,0,"['3B,SS,LF,2B,RF']",0.0,740000.0,ACB,['JOL'],['ACB'],2025,0,0,0,0,100,Active,0,Joliet,list,0
16032,Dominic Maciejewski,30,LAS,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0,0,0,7,0,0,0,"['RF,LF']",2.0,21000000.0,NBL,['LAS'],['NBL'],2025,0,0,0,0,100,Active,0,Las Vegas,list,0
807868,Michael Mullins,24,NEW,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0,0,0,2,0,0,0,"['LF,CF,RF']",1.11,766300.0,ACB,['NEW'],['ACB'],2025,0,0,0,0,100,Active,0,Newport News,Raccoon,0
548179,Justin Waters,31,SOU,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0,0,0,9,0,0,0,"['2B,SS']",7.162,13600000.0,NBL,['SOU'],['NBL'],2025,0,0,0,0,100,Active,0,South Lyon,Toad,0
351747,Randy Walton,29,BET,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,11,0,0,0,"['1B,3B']",1.127,760000.0,NBL,['BET'],['NBL'],2025,0,0,0,0,100,Active,0,Bethlehem,Rabbit,0
800093,Tyler Schuemann,33,RIV,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.243,0,0,0,11,0,0,0,"['RF,LF']",8.143,10000000.0,NBL,['RIV'],['NBL'],2025,0,0,0,0,100,Active,0,Riverside,Fancy rat,0
892869,Justin Marte,21,TEM,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0,0,0,9,0,0,0,"['LF,RF']",0.0,2250000.0,NBL,['TEM'],['NBL'],2025,0,0,0,0,100,Active,0,Tempe,Steelhead trout,0
567821,Adam Walker,24,WAT,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.246,0,0,0,9,0,0,0,"['CF,SS,2B,3B,RF']",0.035,743500.0,ACB,['WAT'],['ACB'],2025,0,0,0,0,100,Active,0,Waterloo,Caribou,0
378893,Kevin Saucedo,27,POR,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0,0,0,10,0,0,0,"['2B,SS']",2.0,768000.0,NBL,['POR'],['NBL'],2025,0,0,0,0,100,Active,0,Portsmouth,Penguin,0
288334,Patrick O'Neill,29,LAS,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.266,0,0,0,10,0,0,0,"['RF,CF,1B,LF']",6.16,27500000.0,NBL,['LAS'],['NBL'],2025,0,0,0,0,100,Active,0,Las Vegas,list,0
895781,Casey France,27,LAS,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,0,0,11,0,0,0,"['1B,2B,3B']",0.045,741500.0,NBL,['LAS'],['NBL'],2025,0,0,0,0,100,Active,0,Las Vegas,list,0
81420,Jose Whitlock,28,NEW,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,0,9,0,0,0,"['CF,3B,RF,LF,1B']",2.026,766000.0,ACB,['NEW'],['ACB'],2025,0,0,0,0,100,Active,0,Newport News,Raccoon,0
198991,Trenton Mederos,29,JOL,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0,0,0,11,0,0,0,['1B'],3.145,7500000.0,ACB,['JOL'],['ACB'],2025,0,0,0,0,100,Active,0,Joliet,list,0
765501,Mike Pages,25,MCH,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0.242,0,0,0,9,0,0,0,"['LF,CF,RF']",0.043,742800.0,ACB,['MCH'],['ACB'],2025,0,0,0,0,100,Active,0,McHenry,Asp,0
935942,Alí Emanuel,23,JOL,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.253,0,0,0,8,0,0,0,"['LF,CF']",0.0,740000.0,ACB,['JOL'],['ACB'],2025,0,0,0,0,100,Active,0,Joliet,list,0
507647,Luke Brennan,23,NEW,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,8,0,0,0,['2B'],0.0,2833333.0,ACB,['NEW'],['ACB'],2025,0,0,0,0,100,Active,0,Newport News,Raccoon,0
988388,Kyle Tauchman,27,CHE,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.262,0,0,0,13,0,0,0,['1B'],1.101,752750.0,ACB,['CHE'],['ACB'],2025,0,0,0,0,100,Active,0,Chesapeake,Squirrel,0
289719,Yilber Farmer,31,SOU,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0,0,0,16,0,0,0,"['LF,1B']",5.094,10000000.0,NBL,['SOU'],['NBL'],2025,0,0,0,0,100,Active,0,South Lyon,Toad,0
781055,Riley Palacios,34,SOU,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.251,0,0,0,16,0,0,0,['1B'],5.124,10900000.0,NBL,['SOU'],['NBL'],2025,0,0,0,0,100,Active,0,South Lyon,Toad,0
542477,Dansby Ornelas,25,SEB,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0,0,0,11,0,0,0,['2B'],0.08,740000.0,ACB,['SEB'],['ACB'],2025,0,0,0,0,100,Active,0,Sebastian,Cod,0
986013,Chase Stephens,30,SIO,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,0,0,19,0,0,0,['C'],10.155,5000000.0,NBL,['SIO'],['NBL'],2025,0,0,0,0,100,Active,0,Sioux Falls,Guanaco,0
969850,Kevin Pennington,27,GAS,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0,0,0,5,0,0,0,['LF'],2.0,757600.0,ACB,['GAS'],['ACB'],2025,0,0,0,0,100,Active,0,Gastonia,Slug,0
726718,Luis Caminero,28,COR,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,17,0,0,0,['2B'],4.075,3200000.0,NBL,['COR'],['NBL'],2025,0,0,0,0,100,Active,0,Corpus Christi,Ermine,0
169689,Parker Kreidler,32,POR,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0,0,0,11,0,0,0,['SS'],7.135,27272727.0,NBL,['POR'],['NBL'],2025,0,0,0,0,100,Active,0,Portsmouth,Penguin,0
